Modelo,Descript,Pulls,Tags,Actualizado
medllama2,"Fine-tuned Llama 2 model to answer medical questions based on an open source medical dataset.",10.4K,17,"Updated 4 months ago"
bakllava,"BakLLaVA is a multimodal model consisting of the Mistral 7B base model augmented with the LLaVA architecture.",10.0K,17,"Updated 3 months ago"
codeup,"Great code generation model based on Llama2.",9,877,"19,"Updated 4 months ago"
wizardlm-uncensored,"Uncensored version of Wizard LM model",9,661,"18,"Updated 4 months ago"
solar,"A compact, yet powerful 10.7B large language model designed for single-turn conversation.",9,551,"32,"Updated 3 months ago"
everythinglm,"Uncensored Llama2 based model with support for a 16K context window.",9,184,"18,"Updated 2 months ago"
sqlcoder,"SQLCoder is a code completion model fined-tuned on StarCoder for SQL generation tasks",8,594,"48,"Updated 7 weeks ago"
nous-hermes2-mixtral,"The Nous Hermes 2 model from Nous Research, now trained over Mixtral.",8,182,"18,"Updated 2 months ago"
dolphincoder,"An uncensored variant of the Dolphin model family that excels at coding, based on StarCoder2.",8,050,"18,"Updated 2 weeks ago"
stable-beluga,"Llama 2 based model fine tuned on an Orca-style dataset. Originally called Free Willy.",7,442,"49,"Updated 4 months ago"
yarn-mistral,"An extension of Mistral to support context windows of 64K or 128K.",6,961,"33,"Updated 2 months ago"
stablelm2,"Stable LM 2 1.6B is a state-of-the-art 1.6 billion parameter small language model trained on multilingual data in English, Spanish, German, Italian, French, Portuguese, and Dutch.",6,794,"34,"Updated 7 weeks ago"
samantha-mistral,"A companion assistant trained in philosophy, psychology, and personal relationships. Based on Mistral.",6,717,"49,"Updated 5 months ago"
meditron,"Open-source medical large language model adapted from Llama 2 to the medical domain.",6,481,"22,"Updated 3 months ago"
stablelm-zephyr,"A lightweight chat model allowing accurate, and responsive output without requiring high-end hardware.",5,985,"17,"Updated 2 months ago"
magicoder,"🎩 Magicoder is a family of 7B parameter models trained on 75K synthetic instruction data using OSS-Instruct, a novel approach to enlightening LLMs with open-source code snippets.",5,933,"18,"Updated 3 months ago"
yarn-llama2,"An extension of Llama 2 that supports a context of up to 128k tokens.",5,739,"67,"Updated 4 months ago"
llama-pro,"An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics.",5,531,"33,"Updated 2 months ago"
wizard-vicuna,"Wizard Vicuna is a 13B parameter model based on Llama 2 trained by MelodysDreamj.",5,454,"17,"Updated 4 months ago"
deepseek-llm,"An advanced language model crafted with 2 trillion bilingual tokens.",5,409,"64,"Updated 3 months ago"
codebooga,"A high-performing code instruct model created by merging two existing code models.",5,199,"16,"Updated 4 months ago"
mistrallite,"MistralLite is a fine-tuned model based on Mistral with enhanced capabilities of processing long contexts.",5,044,"17,"Updated 4 months ago"
nexusraven,"Nexus Raven is a 13B instruction tuned model for function calling tasks.",4,228,"32,"Updated 2 months ago"
pen-orca-platypus2,"Merge of the Open Orca OpenChat model and the Garage-bAInd Platypus 2 model. Designed for chat and code generation.",3,956,"17,"Updated 4 months ago"
all-minilm,"Embedding models on very large sentence level datasets.",3,844,"8,"Updated 4 weeks ago"
goliath,"A language model created by combining two fine-tuned Llama 2 70B models into one.",3,371,"16,"Updated 4 months ago"
notux,"A top-performing mixture of experts model, fine-tuned with high-quality data.",3,128,"18,"Updated 2 months ago"
alfred,"A robust conversational model designed to be used for both chat and instruct use cases.",2,785,"7,"Updated 4 months ago"
megadolphin,"MegaDolphin-2.2-120b is a transformation of Dolphin-2.2-70b created by interleaving the model with itself.",2,751,"19,"Updated 2 months ago"
xwinlm,"Conversational model based on Llama 2 that performs competitively on various benchmarks.",2,516,"80,"Updated 4 months ago"
wizardlm,"General use 70 billion parameter model based on Llama 2.",2,466,"73,"Updated 4 months ago"
duckdb-nsql,"7B parameter text-to-SQL model made by MotherDuck and Numbers Station.",2,236,"17,"Updated 7 weeks ago"
notus,"A 7B chat model fine-tuned with high-quality data and based on Zephyr.",2,100,"18,"Updated 2 months ago"
